"date";"price_brl"
"2025-11-14";"2085.98"
"2025-11-14";"2419.11"
"2025-11-14";"2554.11"
"2025-11-14";"2996.90"
"2025-11-14";"3090.55"
"2025-11-14";"3499.00"
"2025-11-14";"3608.34"

"2025-11-15";"2085.98"
"2025-11-15";"2740.35"
"2025-11-15";"2894.25"
"2025-11-15";"2996.90"
"2025-11-15";"3071.54"
"2025-11-15";"3090.55"
"2025-11-15";"3151.66"
"2025-11-15";"3244.04"
"2025-11-15";"3328.66"
"2025-11-15";"3389.89"
"2025-11-15";"3437.41"
"2025-11-15";"3499.00"
"2025-11-15";"3506.18"
"2025-11-15";"3525.83"
"2025-11-15";"3570.69"
"2025-11-15";"3608.34"

"2025-11-16";"2085.98"
"2025-11-16";"2996.90"
"2025-11-16";"3090.55"
"2025-11-16";"3151.91"
"2025-11-16";"3178.62"
"2025-11-16";"3239.89"
"2025-11-16";"3295.28"
"2025-11-16";"3323.20"
"2025-11-16";"3412.69"
"2025-11-16";"3437.41"
"2025-11-16";"3506.18"
"2025-11-16";"3525.83"
"2025-11-16";"3608.34"

"2025-11-17";"2085.98"
"2025-11-17";"2757.79"
"2025-11-17";"2854.55"
"2025-11-17";"2911.69"
"2025-11-17";"2996.90"
"2025-11-17";"3013.85"
"2025-11-17";"3090.55"
"2025-11-17";"3185.89"
"2025-11-17";"3355.81"
"2025-11-17";"3437.41"
"2025-11-17";"3499.00"
"2025-11-17";"3506.18"
"2025-11-17";"3525.83"
"2025-11-17";"3608.34"

"2025-11-18";"1849.60"
"2025-11-18";"2284.90"
"2025-11-18";"2287.18"
"2025-11-18";"2303.17"
"2025-11-18";"2372.12"
"2025-11-18";"2527.37"
"2025-11-18";"2566.23"
"2025-11-18";"2568.79"
"2025-11-18";"2586.74"
"2025-11-18";"2790.46"
"2025-11-18";"3090.55"
"2025-11-18";"3236.90"
"2025-11-18";"3359.70"
"2025-11-18";"3437.41"
"2025-11-18";"3487.42"
"2025-11-18";"3499.00"
"2025-11-18";"3506.18"
"2025-11-18";"3525.83"
"2025-11-18";"3608.34"

"2025-11-19";"2284.90"
"2025-11-19";"2566.23"
"2025-11-19";"2705.90"
"2025-11-19";"2790.46"
"2025-11-19";"2996.90"
"2025-11-19";"3090.55"
"2025-11-19";"3236.90"
"2025-11-19";"3359.70"
"2025-11-19";"3437.41"
"2025-11-19";"3487.42"
"2025-11-19";"3499.00"
