"date";"price_brl"
"2026-01-23";"442.14"
"2026-01-25";"442.14"
"2026-02-04";"498.86"
"2026-02-05";"498.86"
"2026-02-06";"498.01"
"2026-02-07";"498.86"
"2026-02-09";"498.86"
"2026-02-16";"498.86"
"2026-02-19";"498.01"
"2026-02-19";"498.86"
"2026-02-20";"498.01"
"2026-02-20";"498.86"
"2026-02-24";"498.86"
"2026-02-25";"498.86"
"2026-02-26";"498.86"
"2026-02-27";"498.86"
"2026-02-28";"498.86"
"2026-03-02";"476.08"
"2026-03-03";"476.08"
"2026-03-03";"498.86"
"2026-03-04";"498.86"
"2026-03-05";"498.86"
"2026-03-07";"498.86"
"2026-03-10";"498.86"
"2026-03-11";"498.86"
"2026-03-12";"498.86"
"2026-03-14";"498.86"
"2026-03-17";"348.03"
"2026-03-17";"498.86"
"2026-03-18";"498.01"
"2026-03-18";"498.86"
"2026-03-19";"498.86"
"2026-03-21";"498.86"
"2026-03-23";"348.03"
"2026-03-24";"498.86"
"2026-03-25";"498.01"
"2026-03-25";"498.86"
"2026-03-26";"498.01"
"2026-03-26";"498.86"
"2026-03-28";"498.86"
"2026-03-31";"498.86"
"2026-04-04";"498.01"
"2026-04-04";"498.86"
"2026-04-07";"498.86"
"2026-04-08";"498.86"
"2026-04-09";"498.01"
"2026-04-09";"498.86"
"2026-04-11";"498.86"
